id;Fecha;MENCION
135917;2011-11-25;ABOGADO
167227;2008-07-18;LICENCIADO EN EDUCACION MENCION BIOLOGIA
44538;2009-11-27;LICENCIADO EN CIENCIAS POLITICAS Y ADMINISTRATIVAS
1635;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
11611;2009-11-27;ABOGADO
76042;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
13592;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
13593;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
21560;2010-01-29;LICENCIADO EN LETRAS
44705;2009-03-27;LICENCIADO EN ENFERMERIA
47163;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
15573;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
85578;2018-12-07;LICENCIADO EN CONTADURIA PÚBLICA
68475;2009-10-23;TECNICO SUPERIOR EN ENFERMERIA
47871;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
127586;2017-06-02;Licenciado en Contaduría Pública
172424;2010-11-26;ABOGADO
35602;2009-11-27;ABOGADO
84576;2012-03-22;LICENCIADO EN TERAPIA OCUPACIONAL
83002;2016-11-25;LICENCIADO EN HISTORIA
60749;2015-11-27;ABOGADO
62475;2014-11-21;LICENCIADO EN EDUCACION
25673;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
1639;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
21569;2009-11-27;ABOGADO
40541;2008-07-18;LICENCIADO EN EDUCACIÓN  MENCIÓN HISTORIA
35401;2010-11-26;ABOGADO
64424;2013-11-28;ABOGADO
177237;2008-07-18;LICENCIADO EN FILOSOFIA
59067;2008-03-07;LICENCIADO EN FISIOTERAPIA
141218;2010-11-26;ABOGADO
21571;2014-11-14;LICENCIADO EN CONTADURIA PUBLICA
15582;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
85582;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
146407;2008-05-30;LICENCIADO EN ENFERMERIA
64419;2014-11-28;ABOGADO
69862;2011-03-18;TECNICO SUPERIOR EN INSPECCION EN SALUD PUBLICA
47537;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
63121;2009-10-23;LICENCIADO EN ENFERMERIA
135945;2009-01-23;LICENCIADO EN FILOSOFIA
181444;2010-11-26;ABOGADO
3653;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
62663;2011-11-11;LICENCIADO EN ENFERMERIA
177252;2008-07-18;LICENCIADO EN COMUNICACION SOCIAL
25677;2009-01-16;TECNICO SUPERIOR EN INFORMACION DE SALUD
85584;2018-06-29;ABOGADO
33060;2012-11-23;LICENCIADO EN CIENCIAS POLITICAS Y ADMINISTRATIVAS
7700;2009-01-23;LICENCIADO EN EDUCACION MENCION BIOLOGIA
9667;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
156801;2008-07-18;LICENCIADO EN EDUCACIÓN
187076;2011-07-29;LICENCIADO EN COMUNICACION SOCIAL
9668;2014-11-28;ABOGADO
162026;2009-07-17;LICENCIADO EN FILOSOFIA
78252;2011-11-11;LICENCIADO EN ENFERMERIA
34532;2010-01-29;LICENCIADO EN PSICOLOGIA
80290;2016-07-01;LICENCIADO EN LETRAS
7701;2010-01-29;LICENCIADO EN LETRAS
135958;2009-04-24;ABOGADO
48230;2008-11-07;LICENCIADO EN ENFERMERIA
55552;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
26896;2013-11-29;LICENCIADO EN EDUCACION MENCION FISICA
34160;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
25681;2011-11-25;ABOGADO
135961;2008-11-28;ABOGADO
181459;2014-11-21;LICENCIADO EN EDUCACION
25682;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
33061;2016-12-02;ABOGADO
13605;2012-11-30;LICENCIADO EN EDUCACION MENCION QUIMICA
26688;2013-07-12;LICENCIADO EN ENFERMERIA
1652;2008-01-18;TECNICO SUPERIOR EN INSPECCION EN SALUD PUBLICA
63105;2008-11-07;TECNICO SUPERIOR EN ENFERMERIA
9672;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
55416;2013-11-28;ABOGADO
62725;2010-04-23;LICENCIADO EN ENFERMERIA
135979;2008-07-18;LICENCIADO EN EDUCACIÓN
17579;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
162043;2011-12-02;ECONOMISTA
45494;2013-07-04;LICENCIADO EN BIOLOGIA
37191;2009-12-04;LICENCIADO EN TRABAJO SOCIAL
33058;2011-11-25;ABOGADO
141258;2008-11-28;ABOGADO
3664;2010-12-10;LICENCIADO EN MATEMATICA
29568;2016-12-09;LICENCIADO EN CONTADURIA PUBLICA
177285;2012-11-30;LICENCIADO EN EDUCACION
25688;2008-07-18;LICENCIADO EN EDUCACIÓN
48014;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
54757;2011-11-25;ABOGADO
17580;2009-11-27;ABOGADO
38799;2009-11-27;LICENCIADO EN CIENCIAS POLITICAS Y ADMINISTRATIVAS
47760;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
13611;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
146453;2010-01-29;LICENCIADO EN EDUCACION
25691;2009-10-23;LICENCIADO EN ENFERMERIA
33059;2008-11-28;ABOGADO
167324;2015-11-20;LICENCIADO EN ARCHIVOLOGIA
7712;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
77796;2011-03-18;LICENCIADO EN TERAPIA OCUPACIONAL
33057;2008-11-28;ABOGADO
33660;2010-01-29;LICENCIADO EN COMUNICACION SOCIAL
30609;2010-01-29;LICENCIADO EN EDUCACION
167327;2010-11-26;ABOGADO
52718;2014-11-28;ABOGADO
47166;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
85592;2012-10-31;TECNICO SUPERIOR EN RADIOLOGIA E IMAGENOLOGIA
33661;2008-07-18;LICENCIADO EN LETRAS
35781;2013-11-28;ABOGADO
85593;2015-11-13;LICENCIADO EN RADIOIMAGENOLOGIA
64657;2015-11-27;ABOGADO
141279;2008-07-18;LICENCIADO EN EDUCACION MENCION BIOLOGIA
56130;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
19541;2009-11-27;ABOGADO
55735;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
47690;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
65398;2013-11-28;ABOGADO
25693;2008-01-25;LICENCIADO EN PSICOLOGIA
30203;2010-06-04;ECONOMISTA
57601;2014-11-21;LICENCIADO EN EDUCACION MENCION MATEMATICA
162067;2011-01-28;LICENCIADO EN GEOGRAFIA
11628;2013-11-29;LICENCIADO EN EDUCACION
19542;2008-07-18;LICENCIADO EN EDUCACIÓN
167340;2016-11-25;LICENCIADO EN EDUCACION
30568;2010-07-23;LICENCIADO EN EDUCACION
47080;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
35821;2010-11-26;ABOGADO
47081;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
56160;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
81263;2015-11-27;ABOGADO
48044;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
40878;2010-01-29;LICENCIADO EN EDUCACION
48311;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
47538;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
47539;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
62734;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
47443;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
78587;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
56155;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
25694;2008-07-18;LICENCIADO EN ARTES
33063;2011-11-25;ABOGADO
7719;2008-01-18;TECNICO SUPERIOR EN RADIOLOGIA E IMAGENOLOGIA
59517;2008-03-07;LICENCIADO EN FISIOTERAPIA
36516;2009-07-17;LICENCIADO EN EDUCACION MENCION BIOLOGIA
36516;2011-07-08;LICENCIADO EN BIOLOGIA
42612;2010-11-26;ABOGADO
47893;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
47933;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
11633;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
9682;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
62830;2012-03-23;LICENCIADO EN ENFERMERIA
172510;2008-07-18;LICENCIADO EN EDUCACIÓN
9683;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
1660;2008-07-18;LICENCIADO EN FILOSOFIA
29119;2009-11-27;ABOGADO
22411;2010-11-26;ABOGADO
22241;2010-11-26;ABOGADO
47172;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
48837;2011-11-25;ABOGADO
22412;2009-11-27;ABOGADO
59404;2008-03-07;LICENCIADO EN FISIOTERAPIA
25701;2009-01-23;LICENCIADO EN EDUCACION
34595;2011-11-11;LICENCIADO EN EDUCACION
11636;2008-07-18;LICENCIADO EN LETRAS
13623;2009-01-23;LICENCIADO EN EDUCACIÓN  MENCIÓN HISTORIA
41549;2010-11-26;ABOGADO
19550;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
56197;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
52259;2011-11-25;ABOGADO
81167;2015-11-27;ABOGADO
36590;2010-01-29;LICENCIADO EN LETRAS
1665;2008-12-12;LICENCIADO EN EDUCACION MENCION BIOLOGIA
38593;2009-01-23;LICENCIADO EN EDUCACION
13625;2010-03-26;INGENIERO METALURGICO
9689;2009-06-05;SOCIOLOGO
69683;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
38684;2009-11-27;ABOGADO
47169;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
47171;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
55587;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
33092;2010-11-26;ABOGADO
2117;2008-01-25;LICENCIADO EN ARCHIVOLOGIA
3683;2009-10-23;LICENCIADO EN ENFERMERIA
55787;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
21598;2010-07-29;ABOGADO
55677;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
47763;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
181551;2008-06-13;SOCIOLOGO
32253;2011-01-28;LICENCIADO EN EDUCACION
33303;2009-06-05;LICENCIADO EN ADMINISTRACION COMERCIAL
181552;2009-07-17;LICENCIADO EN EDUCACION
51063;2012-03-22;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
1667;2015-06-19;LICENCIADO EN ADMINISTRACION COMERCIAL
21600;2010-01-22;TECNICO SUPERIOR EN RADIOLOGIA E IMAGENOLOGIA
187172;2015-11-27;ABOGADO
9694;2012-11-23;ABOGADO
34166;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
136068;2015-11-27;ABOGADO
181562;2008-12-04;SOCIOLOGO
5695;2013-03-08;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
19556;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
3688;2011-11-11;LICENCIADO EN EDUCACION
63620;2008-05-30;TECNICO SUPERIOR EN ENFERMERIA
7730;2014-05-30;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
13631;2010-11-26;ABOGADO
60258;2012-11-23;ABOGADO
71537;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
70917;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
5696;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
47173;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
66051;2017-11-17;LICENCIADO EN LETRAS
47764;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
37994;2011-03-25;ABOGADO
55452;2010-11-05;LICENCIADO EN ENFERMERIA
141343;2009-01-23;LICENCIADO EN HISTORIA
17599;2008-12-04;LICENCIADO EN ADMINISTRACION COMERCIAL
39293;2008-11-28;ABOGADO
7735;2010-11-26;ABOGADO
1674;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
187185;2011-06-30;LICENCIADO EN EDUCACION
47174;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
21604;2008-11-28;ABOGADO
172563;2012-11-30;LICENCIADO EN FILOSOFIA
84077;2016-07-01;LICENCIADO EN EDUCACION
141347;2014-11-28;ABOGADO
15622;2012-06-22;LICENCIADO EN CIENCIAS ESTADISTICAS
32833;2012-11-30;LICENCIADO EN EDUCACION
177366;2008-11-28;ABOGADO
136084;2008-06-13;LICENCIADO EN CONTADURIA PUBLICA
33166;2008-12-04;ANTROPOLOGO
129685;2018-04-13;LICENCIADO EN TECNOLOGÍA Y TERAPIA CARDIORRESPIRATORIA
60604;2011-03-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
85608;2016-12-16;LICENCIADO EN TERAPIA CARDIORESPIRATORIA
71380;2016-11-25;LICENCIADO EN EDUCACION
136087;2011-11-11;LICENCIADO EN HISTORIA
48003;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
151718;2013-06-28;LICENCIADO EN ADMINISTRACION COMERCIAL
60874;2009-10-23;LICENCIADO EN ENFERMERIA
62546;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
47445;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
162141;2008-01-25;LICENCIADO EN GEOGRAFIA
48043;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
77656;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
1676;2012-11-30;LICENCIADO EN EDUCACION
172575;2013-11-29;LICENCIADO EN EDUCACION
62594;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
141374;2013-06-28;ECONOMISTA
69864;2011-03-18;TECNICO SUPERIOR EN INSPECCION EN SALUD PUBLICA
181594;2009-12-04;LICENCIADO EN ADMINISTRACION COMERCIAL
9706;2008-04-18;MEDICO VETERINARIO
5701;2008-01-25;LICENCIADO EN EDUCACION
84563;2012-03-22;LICENCIADO EN TERAPIA OCUPACIONAL
19566;2011-12-02;LICENCIADO EN TRABAJO SOCIAL
3700;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
25717;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
47405;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
9707;2010-07-23;LICENCIADO EN COMUNICACION SOCIAL
73408;2009-11-27;ABOGADO
85505;2012-03-22;LICENCIADO EN FISIOTERAPIA
49210;2011-07-29;LICENCIADO EN COMUNICACION SOCIAL
3701;2010-01-29;LICENCIADO EN GEOGRAFIA
54847;2013-03-22;LICENCIADO EN EDUCACION
1680;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
47540;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
47541;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
47536;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
47542;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
55039;2013-03-22;LICENCIADO EN EDUCACION
47543;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
7745;2009-07-17;LICENCIADO EN EDUCACION
15590;2017-12-05;ABOGADO
38109;2013-11-28;ABOGADO
56102;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
61632;2011-03-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
1684;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
3704;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
70354;2009-01-16;LICENCIADO EN TERAPIA OCUPACIONAL
47175;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
47686;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
61649;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
15632;2013-03-08;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
47650;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
47610;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
59059;2008-03-07;LICENCIADO EN FISIOTERAPIA
54932;2010-11-05;LICENCIADO EN ENFERMERIA
43871;2009-01-16;TECNICO SUPERIOR EN FISIOTERAPIA
141393;2008-07-18;LICENCIADO EN EDUCACIÓN
15633;2010-11-05;LICENCIADO EN ENFERMERIA
60862;2011-03-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
35042;2012-11-30;LICENCIADO EN ARTES
22414;2008-11-28;ABOGADO
146576;2009-01-23;LICENCIADO EN EDUCACION
53295;2012-11-23;ABOGADO
62614;2011-03-25;LICENCIADO EN ENFERMERIA
181623;2009-04-24;ABOGADO
73853;2016-11-25;LICENCIADO EN HISTORIA
33678;2009-07-17;LICENCIADO EN COMUNICACION SOCIAL
33678;2016-07-15;LICENCIADO EN ESTUDIOS INTERNACIONALES
177408;2008-04-18;ABOGADO
177409;2008-07-18;LICENCIADO EN FILOSOFIA
55131;2016-12-02;ABOGADO
141399;2008-05-30;LICENCIADO EN ENFERMERIA
55608;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
47047;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
47082;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
187220;2009-12-04;SOCIOLOGO
11655;2008-11-07;LICENCIADO EN ENFERMERIA
19574;2013-03-08;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
26644;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
30299;2008-11-28;ABOGADO
25724;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
7754;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
30576;2008-07-18;LICENCIADO EN EDUCACIÓN
45993;2012-03-30;LICENCIADO EN EDUCACION
13655;2008-07-18;LICENCIADO EN EDUCACION MENCION FILOSOFIA
70929;2011-11-11;LICENCIADO EN ENFERMERIA
40942;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
64625;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
151763;2010-07-23;LICENCIADO EN EDUCACION
72482;2012-03-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
48042;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
63849;2015-06-19;LICENCIADO EN TRABAJO SOCIAL
44906;2009-03-27;LICENCIADO EN ENFERMERIA
54746;2009-10-23;LICENCIADO EN ENFERMERIA
136143;2008-01-25;LICENCIADO EN LETRAS
156945;2009-12-04;LICENCIADO EN ADMINISTRACION COMERCIAL
53228;2014-03-28;LICENCIADO EN TRABAJO SOCIAL
162187;2008-07-18;LICENCIADO EN EDUCACIÓN
40021;2016-05-06;LICENCIADO EN ADMINISTRACION COMERCIAL
141406;2008-11-28;ABOGADO
40825;2008-07-18;LICENCIADO EN EDUCACION MENCION BIOLOGIA
56144;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
56062;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
156949;2014-04-25;LICENCIADO EN LETRAS
162191;2008-12-12;LICENCIADO EN EDUCACION MENCION BIOLOGIA
21621;2014-07-25;LICENCIADO EN ENFERMERIA
19578;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
82049;2014-07-25;LICENCIADO EN ENFERMERIA
47549;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
25726;2010-01-29;LICENCIADO EN EDUCACION
136150;2011-01-28;LICENCIADO EN EDUCACION
156951;2008-01-25;LICENCIADO EN BIBLIOTECOLOGIA
56174;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
177426;2009-12-04;LICENCIADO EN ADMINISTRACION COMERCIAL
45442;2014-04-25;LICENCIADO EN HISTORIA
65498;2015-05-08;LICENCIADO EN PSICOLOGIA
85619;2018-12-04;ABOGADO
85620;2016-12-16;LICENCIADO EN TERAPIA CARDIORESPIRATORIA
21624;2008-07-18;LICENCIADO EN FILOSOFIA
28449;2010-07-23;LICENCIADO EN HISTORIA
11661;2009-07-17;LICENCIADO EN EDUCACION
47858;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
71728;2012-03-23;LICENCIADO EN ENFERMERIA
59465;2008-03-07;LICENCIADO EN FISIOTERAPIA
38905;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
3716;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
56007;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
181656;2011-11-11;LICENCIADO EN EDUCACION
45330;2010-11-26;ABOGADO
19580;2008-06-13;SOCIOLOGO
63120;2009-10-23;LICENCIADO EN ENFERMERIA
60974;2013-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
15641;2011-07-29;LICENCIADO EN EDUCACION
56089;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
72268;2009-10-23;TECNICO SUPERIOR EN ENFERMERIA
15642;2009-12-11;LICENCIADO EN BIOLOGIA
15642;2012-11-30;LICENCIADO EN EDUCACION MENCION BIOLOGIA
79756;2012-03-30;LICENCIADO EN ARTES
59072;2008-03-07;LICENCIADO EN FISIOTERAPIA
21626;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
177442;2008-11-28;ABOGADO
62230;2014-03-28;SOCIOLOGO
44697;2009-10-23;LICENCIADO EN ENFERMERIA
13662;2008-06-13;SOCIOLOGO
38742;2009-01-23;LICENCIADO EN EDUCACION
47934;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
85622;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
141427;2008-07-18;LICENCIADO EN ARCHIVOLOGIA
34254;2008-11-28;ABOGADO
62746;2010-03-26;TECNICO SUPERIOR EN INFORMACION DE SALUD
11668;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
47176;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
37872;2009-11-27;ABOGADO
25731;2009-01-23;LICENCIADO EN EDUCACION
32260;2011-01-28;LICENCIADO EN EDUCACION
46272;2012-11-30;LICENCIADO EN EDUCACION
21630;2009-07-17;LICENCIADO EN EDUCACION
61090;2013-11-29;LICENCIADO EN EDUCACION
181672;2011-11-11;ARQUITECTO
9721;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
47177;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
181674;2012-03-23;ABOGADO
7761;2009-07-17;LICENCIADO EN EDUCACION
46283;2010-01-29;LICENCIADO EN EDUCACION
40628;2009-10-23;LICENCIADO EN ENFERMERIA
40610;2010-11-05;LICENCIADO EN ENFERMERIA
3725;2009-11-27;ABOGADO
64197;2014-12-12;LICENCIADO EN ENFERMERIA
21632;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
25734;2015-05-08;LICENCIADO EN EDUCACION
48452;2009-12-04;LICENCIADO EN CONTADURIA PUBLICA
64511;2018-03-16;LICENCIADO EN CONTADURÍA PÚBLICA
162230;2008-11-28;ABOGADO
3728;2010-01-29;LICENCIADO EN HISTORIA
67770;2018-12-04;ABOGADO
172646;2014-04-04;ABOGADO
45989;2012-11-30;LICENCIADO EN EDUCACION
59475;2008-03-07;LICENCIADO EN FISIOTERAPIA
47859;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
141445;2010-11-26;ABOGADO
56171;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
55836;2009-10-23;LICENCIADO EN ENFERMERIA
64009;2011-11-25;ABOGADO
15648;2018-04-13;LICENCIADO EN INSPECCIÓN DE SALUD PÚBLICA
47635;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
15649;2009-10-23;LICENCIADO EN ENFERMERIA
47767;2008-01-18;TECNICO SUPERIOR EN INFORMACION DE SALUD
84545;2012-03-22;LICENCIADO EN TERAPIA OCUPACIONAL
55623;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
55698;2010-01-22;TECNICO SUPERIOR EN INFORMACION DE SALUD
19589;2013-03-08;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
19590;2013-03-08;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
167496;2010-11-26;ABOGADO
7766;2014-03-13;LICENCIADO EN INSPECCIÓN EN SALUD PUBLICA
47609;2008-03-07;TECNICO SUPERIOR EN INFORMACION DE SALUD
78212;2012-11-30;LICENCIADO EN EDUCACION
59514;2008-03-07;LICENCIADO EN FISIOTERAPIA
70159;2009-03-27;TECNICO SUPERIOR EN ENFERMERIA
54498;2011-11-11;LICENCIADO EN EDUCACION
